Date,Open,High,Low,Close
02/13/2023,"12,356.50","12,522.78","12,313.45","12,502.31"
02/10/2023,"12,306.59","12,375.72","12,204.22","12,304.92"
02/09/2023,"12,677.54","12,679.54","12,327.44","12,381.17"
02/08/2023,"12,680.03","12,709.45","12,471.12","12,495.38"
02/07/2023,"12,474.95","12,771.59","12,419.71","12,728.27"
02/06/2023,"12,468.81","12,558.88","12,411.88","12,464.51"
02/03/2023,"12,520.95","12,828.71","12,520.95","12,573.36"
02/02/2023,"12,655.18","12,880.98","12,600.76","12,803.14"
02/01/2023,"12,087.92","12,458.88","12,010.74","12,363.10"
01/31/2023,"11,915.95","12,104.13","11,915.95","12,101.93"
01/30/2023,"12,047.16","12,087.68","11,906.11","11,912.39"
01/27/2023,"12,000.21","12,248.15","11,999.87","12,166.60"
01/26/2023,"11,972.57","12,055.81","11,853.37","12,051.48"
01/25/2023,"11,636.01","11,841.81","11,550.07","11,814.69"
01/24/2023,"11,802.95","11,889.37","11,780.07","11,846.64"
01/23/2023,"11,652.00","11,918.86","11,617.83","11,872.54"
01/20/2023,"11,363.85","11,623.20","11,329.54","11,619.03"
01/19/2023,"11,345.19","11,388.47","11,251.94","11,295.67"
01/18/2023,"11,636.61","11,690.27","11,403.32","11,410.29"
01/17/2023,"11,531.55","11,615.95","11,484.02","11,557.19"
01/13/2023,"11,362.13","11,547.96","11,347.60","11,541.48"
01/12/2023,"11,441.46","11,500.86","11,246.02","11,459.61"
01/11/2023,"11,259.16","11,403.89","11,220.75","11,402.52"
01/10/2023,"11,069.05","11,207.56","11,050.68","11,205.78"
01/09/2023,"11,133.07","11,304.84","11,085.33","11,108.45"
01/06/2023,"10,807.46","11,082.59","10,696.42","11,040.35"
01/05/2023,"10,837.25","10,842.33","10,728.26","10,741.22"
01/04/2023,"10,949.34","10,981.46","10,785.53","10,914.80"
01/03/2023,"11,038.43","11,093.10","10,770.93","10,862.64"
12/30/2022,"10,835.59","10,942.90","10,778.64","10,939.76"
12/29/2022,"10,800.80","10,981.06","10,776.62","10,951.05"
12/28/2022,"10,807.12","10,898.64","10,671.19","10,679.34"
12/27/2022,"10,944.30","10,957.44","10,807.61","10,822.51"
